Open,High,Low,Close,Volume,date
788.05,794.99,761.29,781.12,119947,2020-10-15
788.05,793.01,784.09,790.04,69204,2020-10-14
793.01,796.98,777.15,789.05,93921,2020-10-13
744.44,789.05,744.44,789.05,107338,2020-10-12
748.41,758.32,732.54,746.42,173112,2020-10-09
715.7,760.3,713.71,758.32,194398,2020-10-08
708.76,718.67,697.86,711.73,70213,2020-10-07
692.9,711.73,689.92,703.8,76468,2020-10-06
676.04,701.81,676.04,684.97,36116,2020-10-05
701.81,709.74,654.23,667.12,55586,2020-10-02
713.71,730.57,657.21,696.86,78284,2020-09-30
711.73,722.63,685.96,711.73,55888,2020-09-29
684.97,713.71,681.99,711.73,98360,2020-09-28
656.22,688.93,656.22,681.0,58006,2020-09-25
668.12,683.97,662.16,666.13,41664,2020-09-24
675.06,681.99,665.14,668.12,55081,2020-09-23
654.23,688.93,654.23,688.93,77881,2020-09-18
645.32,654.23,629.46,654.23,44287,2020-09-17
624.5,650.27,623.51,647.3,61235,2020-09-16
611.61,624.5,606.65,624.5,31475,2020-09-15
641.35,641.35,597.73,606.65,53669,2020-09-14
603.68,636.39,595.75,631.43,85244,2020-09-11
592.78,600.71,588.81,594.76,55989,2020-09-10
577.91,592.78,570.97,592.78,51349,2020-09-09
568.99,578.89,568.99,578.89,33391,2020-09-08
562.05,572.95,559.08,567.01,44488,2020-09-07
531.32,564.03,528.34,559.08,44488,2020-09-04
534.29,545.2,530.33,541.24,39747,2020-09-03
522.4,531.32,521.41,530.33,29054,2020-09-02
519.42,523.38,516.45,520.41,30365,2020-09-01
515.46,518.44,509.51,509.51,18966,2020-08-31
521.41,525.37,501.58,509.51,41664,2020-08-28
515.46,523.38,513.48,515.46,38536,2020-08-27
512.48,515.46,508.52,515.46,18562,2020-08-26
510.5,512.48,507.53,511.5,9382,2020-08-25
511.5,513.48,503.57,506.54,13921,2020-08-24
495.63,511.5,493.65,511.5,69204,2020-08-21
491.67,494.64,486.71,489.68,22093,2020-08-20
497.61,497.61,484.73,492.66,20580,2020-08-19
489.68,506.54,487.7,489.68,39545,2020-08-18
480.77,489.68,478.78,489.68,17654,2020-08-17
476.8,485.73,473.83,473.83,27440,2020-08-14
469.86,484.73,465.9,475.81,46808,2020-08-13
479.77,491.67,471.84,485.73,26734,2020-08-12
464.9,479.77,462.93,478.78,29357,2020-08-11
464.9,469.86,461.93,464.9,20378,2020-08-07
464.9,465.9,459.94,465.9,11501,2020-08-06
469.86,470.86,458.96,467.87,14124,2020-08-05
471.84,478.78,463.91,475.81,23405,2020-08-04
434.17,475.81,432.19,475.81,48827,2020-08-03
439.13,439.13,425.26,426.24,74450,2020-07-31
462.93,462.93,436.16,441.12,107035,2020-07-30
486.71,486.71,467.87,467.87,40049,2020-07-29
496.63,496.63,485.73,486.71,18159,2020-07-28
499.6,499.6,487.7,496.63,34602,2020-07-27
504.55,504.55,499.6,500.59,11904,2020-07-22
507.53,507.53,502.57,506.54,6658,2020-07-21
508.52,510.5,500.59,507.53,16847,2020-07-20
